cuisine,Restaraunts,Count
Sandwiches,"[u'73278', u'82202', u'74954', u'75336', u'73447', u'68929', u'62452', u'72355', u'71578', u'72699', u'3388', u'79403', u'76444', u'66991', u'70620', u'80478', u'71702', u'71173', u'69106', u'78689', u'70258', u'81699', u'69178', u'70966', u'57729', u'62445', u'72477', u'70963', u'66417', u'72603', u'57709', u'81332', u'36527', u'73809', u'3964', u'68407', u'68561', u'62497', u'72306', u'3305', u'73163', u'70811', u'36468', u'78801', u'66146', u'71147', u'59803', u'67116', u'79986', u'64314', u'80220', u'2992', u'66615', u'66615', u'66812', u'76815', u'62699', u'81823', u'70194', u'75136', u'15088', u'66011', u'58856', u'63254', u'3869', u'78920', u'81289', u'73255', u'68302', u'61939', u'69576', u'70246', u'66488', u'82136', u'40992', u'73580', u'2712', u'30681', u'80203', u'73092', u'64144', u'3065', u'64187', u'75166', u'73363', u'70809', u'82111', u'62606', u'9382', u'71168', u'9242', u'65265', u'66163', u'79090', u'61262', u'79284', u'64195', u'71843', u'30742', u'71602', u'71475', u'82228', u'80422', u'73382', u'4037', u'73764', u'70339', u'72264', u'79680', u'73558', u'76383', u'64082', u'68556', u'60202', u'63709', u'80586', u'35753', u'59484', u'64260', u'74469', u'69472', u'73228', u'63607', u'64447', u'30701', u'72471', u'73429', u'60896', u'4180', u'79131', u'4414', u'72045', u'81738', u'71728', u'59737', u'68465', u'78811', u'72118', u'69164', u'79377', u'71204', u'64682', u'62759', u'62234', u'68399', u'68276', u'80520', u'66636', u'61662', u'73260', u'74708', u'21327', u'72140', u'79932', u'70622', u'74082', u'72880', u'38275', u'81749', u'51107', u'76373', u'82068', u'71209', u'58096', u'72657', u'75141', u'70352', u'2761', u'68798', u'61381', u'59950', u'65336', u'72084', u'69309', u'62376', u'68942', u'70713', u'73521', u'63548', u'62380', u'59007', u'74616', u'80461', u'70070', u'74565', u'65250', u'70322', u'35984', u'79744', u'76339', u'74941', u'71254', u'73484', u'70709', u'59213', u'76857', u'82139', u'58800', u'69497', u'72739', u'60463', u'62317', u'73342', u'69357', u'72601', u'57', u'71403', u'57979', u'32126', u'64464', u'70312', u'30785', u'79759', u'68042', u'52960', u'75023', u'79507', u'72004', u'82137', u'79486', u'79669', u'58539', u'79609', u'61977', u'63914', u'58414', u'71213', u'65127', u'62110', u'46044', u'29168', u'62946', u'28554', u'80219', u'70269', u'79949', u'61404', u'70799', u'56903', u'69146', u'70763', u'74659', u'79294', u'61392', u'60223', u'70772', u'70759', u'69422', u'54639', u'69418', u'79391', u'79577', u'75175', u'64857', u'71353', u'66882', u'82060', u'81680', u'69551', u'62310', u'72523', u'73208', u'79944', u'82182', u'79542', u'80376', u'62236', u'76000', u'36362', u'80616', u'43767', u'73318', u'63616', u'37139', u'72052', u'58844', u'81353', u'81422', u'73493', u'2741', u'30435', u'69364', u'63819', u'72196', u'79133', u'80202', u'82264', u'66637', u'73257', u'79077', u'81879', u'71531', u'68554', u'68580', u'32219', u'74484', u'58098', u'80553', u'74537', u'72495', u'78831', u'58816', u'62068', u'299', u'60722', u'18567', u'3201', u'13772', u'66062', u'81438', u'71331', u'62423', u'71298', u'73864', u'71967', u'39035', u'81685', u'82396', u'72565', u'73056', u'6773', u'67718', u'76584', u'67099', u'66795', u'61833', u'74873', u'79562', u'66616', u'82309', u'61793', u'57091', u'69089', u'64113', u'80218', u'82003', u'64729', u'73970', u'68657', u'954', u'72567', u'74779', u'60101', u'81648', u'79861', u'62959', u'18289', u'61760', u'75056', u'71812', u'74662', u'43763', u'72111', u'78718', u'75238', u'82122', u'58481', u'72542', u'64752', u'1579', u'5631', u'58934', u'75924', u'64432', u'79185', u'81681', u'60372', u'71476', u'72869', u'82190', u'79464', u'67199', u'74592', u'81765', u'71893', u'62638', u'73476', u'74413', u'78876', u'81965', u'69568', u'75941', u'73560', u'61455', u'73526', u'8080', u'78990', u'68831', u'58935', u'71979', u'69062', u'37837', u'64761', u'82241', u'3568', u'81976', u'76825', u'63267', u'57705', u'79107', u'68638', u'82156', u'49337', u'69612', u'79041', u'72828', u'69720', u'52197', u'62876', u'71948', u'79078', u'82011', u'76408', u'76821', u'69481', u'80259', u'82019', u'68398', u'73613', u'75369', u'58963', u'74900', u'65890', u'58948', u'11272', u'64473', u'70671', u'3872', u'78977', u'58540', u'72867', u'75237', u'72416', u'70126', u'71995', u'3248', u'80339', u'65343', u'60031', u'80378', u'70706', u'9942', u'70848', u'73922', u'68837', u'80101', u'30746', u'82151', u'62022', u'74967', u'60723', u'29997', u'79823', u'71087', u'835', u'73034', u'79132', u'66282', u'60027', u'71808', u'82379', u'73836', u'72907', u'72142', u'75212', u'74833', u'72143', u'17256', u'39098', u'79239', u'65964', u'72454', u'80472', u'31269', u'63392', u'66851', u'74746', u'72432', u'66675', u'79909', u'76025', u'69645', u'68641', u'82087', u'71075', u'74599', u'73028', u'79766', u'71645', u'74070', u'69468', u'80198', u'79487', u'73272', u'70708', u'31265', u'74854', u'70379', u'63059', u'372', u'76847', u'8482', u'69417', u'79242', u'68728', u'79396', u'61573', u'69391', u'80522', u'70268', u'68065', u'29753', u'64853', u'58502', u'71985', u'60278', u'30738', u'8717', u'75927', u'62453', u'58389', u'82422', u'61438', u'80371', u'71839', u'64880', u'68386', u'62761', u'68625', u'71715', u'70305', u'81617', u'58400', u'69363', u'62146', u'71018', u'78912', u'74489', u'66784', u'69029', u'58195', u'58543', u'71416', u'31515', u'65887', u'75151', u'62895', u'72415', u'73214', u'74388', u'79369', u'70738', u'72125', u'67137', u'82145', u'3352', u'79211', u'81546', u'66148', u'69126', u'37639', u'62023', u'63588', u'64445', u'63625', u'75956', u'71627', u'74648', u'67875', u'61162', u'25841', u'73450', u'81783', u'71840', u'79206', u'75307', u'38038', u'27492', u'58094', u'70256', u'62214', u'73502', u'79401', u'70248', u'73100', u'69067', u'67379', u'66212', u'60313', u'75931', u'72823', u'74547', u'71215', u'69382', u'24479', u'69202', u'75143', u'70810', u'63730', u'74979', u'63060', u'66880', u'57720', u'61955', u'82286', u'69208', u'58264', u'29737', u'61035', u'68315', u'72195', u'71547', u'74365', u'65231', u'81547', u'79042', u'78909', u'69915', u'79016', u'61735', u'63319', u'66287', u'71430', u'79198', u'78834', u'80432', u'80967', u'74839', u'69045', u'81653', u'72456', u'79373', u'57651', u'71530', u'75286', u'82333', u'70991', u'3209', u'72326', u'61736', u'68679', u'81120', u'68021', u'3159', u'80548', u'69675', u'81445', u'81437', u'79877', u'32088', u'82354', u'3442', u'79017', u'71871', u'75280', u'70861', u'81334', u'80119', u'2949', u'57263', u'40732', u'58368', u'32227', u'69613', u'69139', u'76803', u'67354', u'72774', u'75362', u'80216', u'79244', u'43931', u'63859', u'63549', u'78719', u'64735', u'9390', u'73556', u'71831', u'66457', u'28648', u'80633', u'80546', u'74668', u'73213', u'67380', u'76399', u'75334', u'70399', u'76413', u'67708', u'76013', u'68307', u'74725', u'74258', u'58526', u'4313', u'64395', u'70816', u'78853', u'68156', u'73713', u'71605', u'58614', u'80594', u'73060', u'57550', u'13318', u'6117', u'30779', u'69727', u'70710', u'81485', u'39133', u'57974', u'7897', u'69145', u'79431', u'74543', u'67409', u'70286', u'61657', u'71465', u'79874', u'69087', u'80091', u'64382', u'74919', u'74818', u'73699', u'71851', u'72608', u'66139', u'75454', u'72013', u'3190', u'69261', u'80465', u'70707', u'68995', u'70929', u'58817', u'79545', u'78937', u'68502', u'27991', u'68912', u'71494', u'3195', u'78939', u'79355', u'64542', u'76010', u'75062', u'73351', u'62111', u'59602', u'73409', u'61737', u'71066', u'73601', u'62777', u'80326', u'82108', u'30729', u'70720', u'79863', u'71450', u'11184', u'62109', u'73273', u'2834', u'74695', u'72130', u'58509', u'73329', u'49333', u'79599', u'13268', u'61608', u'67159', u'74936', u'80494', u'72234', u'73702', u'67497', u'79961', u'80405', u'503', u'66626', u'67852', u'67204', u'71033', u'61418', u'24316', u'69762', u'30809', u'40900', u'27505', u'71634', u'64823', u'82115', u'73851', u'73411', u'71823', u'70654', u'81117', u'68354', u'69176', u'71612', u'81533', u'80174', u'79316', u'82310', u'80032', u'61149', u'81138', u'72903', u'63807', u'63851', u'71062', u'71842', u'60447', u'69011', u'72303', u'1280', u'68896', u'71714', u'70805', u'61724', u'70956', u'3583', u'66453', u'9389', u'69522', u'71438', u'49332', u'75896', u'81392', u'74257', u'57277', u'67865', u'64129', u'75188', u'66657', u'73953', u'62312', u'70853', u'72433', u'82054', u'66988', u'74563', u'7971', u'70386', u'69090', u'73477', u'58561', u'79858', u'81754', u'58157', u'74667', u'71398', u'72148', u'61691', u'68438', u'67950', u'58541', u'57549', u'57548', u'60086', u'79893', u'82121', u'75990', u'71819', u'73532', u'80074', u'75194', u'78989', u'68797', u'74796', u'71396', u'73632', u'64017', u'60305', u'79928', u'67867', u'12826', u'82020', u'81700', u'69219', u'67873', u'66520', u'1218', u'69248', u'69004', u'80258', u'82244', u'64402', u'68630', u'80269', u'74993', u'63320', u'66644', u'73266', u'60246', u'75950', u'67476', u'69371', u'70355', u'70806', u'72376', u'73200', u'70838', u'71980', u'82048', u'76402', u'80321', u'72756', u'79276', u'69265', u'73330', u'81785', u'81573', u'25151', u'60212', u'61651', u'71613', u'59835', u'79943', u'64697', u'72230', u'68782', u'79201', u'68213', u'3962']",935
Fast Food,"[u'82202', u'60900', u'79501', u'67522', u'66184', u'79053', u'73901', u'79552', u'73810', u'73363', u'62606', u'81282', u'60903', u'14553', u'68271', u'60673', u'60906', u'65250', u'74941', u'67179', u'73891', u'79368', u'69054', u'78872', u'79357', u'72523', u'60901', u'78934', u'74484', u'60674', u'13772', u'66062', u'78858', u'79867', u'61952', u'73893', u'73552', u'78871', u'73890', u'69068', u'72547', u'78977', u'60905', u'72131', u'73804', u'60899', u'71808', u'69138', u'68987', u'79909', u'60904', u'74666', u'72126', u'79528', u'73808', u'66487', u'70248', u'78866', u'71871', u'79906', u'69588', u'76399', u'71372', u'73013', u'6117', u'61657', u'80244', u'1270', u'80105', u'79863', u'79635', u'74817', u'72539', u'60898', u'75355', u'68295', u'73015', u'62719', u'59884', u'74570', u'9389', u'71438', u'60902', u'74831', u'72229', u'239', u'72865', u'75990', u'75194', u'75378', u'66486', u'75320', u'60907', u'64402', u'71590']",95
Korean,"[u'79559', u'73504', u'66447', u'81741', u'81749', u'75211', u'72165', u'69054', u'79944', u'71339', u'61296', u'81435', u'80210', u'79473', u'75772', u'76486', u'81467', u'69381', u'73667', u'80120', u'71534', u'64266', u'67733', u'62028', u'76717', u'72676', u'69160', u'70882', u'75653', u'81537', u'79498', u'62220', u'75813', u'9236', u'58270', u'66641', u'70088', u'73783', u'74518', u'75489', u'76036', u'64736', u'66814']",43
Chocolate,[u'74830'],1
Australian,[u'80953'],1
Pizza,"[u'71364', u'60258', u'74954', u'74617', u'73451', u'66553', u'66058', u'76790', u'75892', u'26527', u'40909', u'72355', u'71578', u'3216', u'61059', u'3388', u'63763', u'72101', u'71173', u'72794', u'69106', u'66585', u'79749', u'72723', u'62822', u'81699', u'80150', u'66297', u'70966', u'69586', u'70963', u'60402', u'57709', u'69554', u'78794', u'81332', u'74905', u'68757', u'74903', u'76689', u'3964', u'68407', u'80232', u'79773', u'71944', u'18501', u'79043', u'38235', u'3305', u'79941', u'69887', u'6109', u'57272', u'71172', u'36468', u'67438', u'69596', u'63179', u'77988', u'63704', u'80677', u'66615', u'79414', u'66082', u'66812', u'76815', u'70194', u'75136', u'79051', u'15088', u'76771', u'30872', u'1511', u'63254', u'69071', u'75284', u'3869', u'80189', u'60301', u'76372', u'81989', u'71608', u'66488', u'81518', u'40992', u'75451', u'60973', u'65025', u'81542', u'80203', u'82355', u'71499', u'75099', u'59488', u'739', u'64187', u'75376', u'76371', u'75166', u'68594', u'75897', u'66066', u'67882', u'62606', u'73308', u'81282', u'79238', u'71456', u'9242', u'73095', u'66163', u'63910', u'79090', u'69292', u'79541', u'60214', u'82089', u'71843', u'71381', u'70123', u'30742', u'78405', u'74535', u'80052', u'68584', u'68067', u'61217', u'70320', u'72463', u'72670', u'57539', u'69878', u'4037', u'74412', u'81782', u'73558', u'67388', u'76383', u'76662', u'63709', u'36358', u'66915', u'35753', u'79061', u'64260', u'74469', u'67720', u'63607', u'64447', u'30701', u'74728', u'3383', u'73429', u'70342', u'73252', u'72661', u'68916', u'72448', u'70290', u'4414', u'65387', u'81738', u'79193', u'71728', u'2913', u'693', u'59737', u'79335', u'79291', u'68465', u'76823', u'902', u'69600', u'67857', u'69164', u'80132', u'78190', u'79030', u'71468', u'32138', u'81377', u'82205', u'66661', u'82007', u'71371', u'79591', u'76342', u'79386', u'2954', u'65046', u'68391', u'78764', u'73260', u'80563', u'21327', u'72140', u'79932', u'82347', u'80543', u'82068', u'72657', u'75141', u'59762', u'68066', u'62295', u'67862', u'59950', u'65336', u'79814', u'82326', u'69309', u'75172', u'72553', u'62376', u'60804', u'68942', u'58360', u'80012', u'81956', u'79435', u'69447', u'62380', u'2898', u'59007', u'64671', u'59863', u'73871', u'71790', u'62372', u'62299', u'60393', u'68597', u'76550', u'68693', u'79898', u'73254', u'70315', u'68664', u'61685', u'67084', u'59807', u'75656', u'66634', u'81886', u'80359', u'76339', u'67062', u'71254', u'73484', u'75439', u'3015', u'34716', u'70709', u'76857', u'73452', u'58297', u'71243', u'72739', u'73041', u'67866', u'74920', u'71403', u'68273', u'77641', u'59841', u'61406', u'73297', u'68063', u'57578', u'80192', u'72852', u'68579', u'68518', u'66162', u'61419', u'69575', u'72254', u'90', u'3526', u'44227', u'1256', u'72004', u'69888', u'49425', u'79368', u'77597', u'78652', u'58499', u'71853', u'79669', u'82369', u'58010', u'74503', u'61977', u'63823', u'75158', u'70996', u'63914', u'73276', u'73302', u'58414', u'78756', u'41607', u'62110', u'46044', u'81528', u'69234', u'80564', u'76583', u'62946', u'28554', u'81088', u'70763', u'74659', u'79294', u'3022', u'74949', u'74055', u'62466', u'75160', u'78872', u'54639', u'70820', u'79515', u'71078', u'69418', u'68716', u'79391', u'75175', u'80560', u'75721', u'73801', u'64857', u'78277', u'66882', u'67468', u'71745', u'82060', u'64083', u'81680', u'72523', u'1220', u'58629', u'71718', u'79542', u'78594', u'80376', u'68392', u'76000', u'75937', u'72476', u'36362', u'43767', u'65166', u'82343', u'63616', u'9613', u'72377', u'80473', u'73072', u'81446', u'81586', u'70642', u'74776', u'81353', u'71680', u'73493', u'75533', u'78899', u'30435', u'60498', u'80463', u'72735', u'79133', u'76035', u'80202', u'78747', u'80536', u'66637', u'82344', u'79270', u'67090', u'80531', u'71531', u'74484', u'58098', u'1133', u'74755', u'66373', u'75323', u'70303', u'72067', u'57000', u'74537', u'72578', u'58816', u'75011', u'80235', u'73319', u'4041', u'65883', u'73132', u'68935', u'70359', u'82305', u'71331', u'81544', u'67491', u'71298', u'62004', u'78775', u'70919', u'78570', u'81209', u'72565', u'6773', u'78858', u'76593', u'27877', u'72150', u'67024', u'44503', u'66616', u'57091', u'1037', u'71156', u'67108', u'82003', u'60194', u'64729', u'71518', u'77665', u'77438', u'58853', u'71181', u'72707', u'79861', u'62959', u'82230', u'18289', u'71754', u'60206', u'66357', u'71594', u'35859', u'61760', u'43763', u'82283', u'75238', u'71188', u'72542', u'74992', u'71941', u'67878', u'61843', u'58934', u'71145', u'67717', u'77866', u'68418', u'81681', u'62177', u'12681', u'57530', u'79704', u'27135', u'78721', u'66603', u'71923', u'67199', u'62371', u'74592', u'81765', u'71893', u'60166', u'72211', u'61192', u'75437', u'80049', u'76396', u'3024', u'71687', u'66555', u'62464', u'81880', u'57329', u'80949', u'69568', u'18402', u'78871', u'80065', u'73526', u'8080', u'78990', u'79971', u'10130', u'68756', u'81448', u'65060', u'74578', u'66640', u'37837', u'79830', u'3357', u'3568', u'76370', u'81976', u'76825', u'63791', u'74677', u'60596', u'77936', u'73448', u'71073', u'71878', u'68549', u'70299', u'75053', u'68776', u'68090', u'82134', u'78483', u'3467', u'81960', u'67856', u'69612', u'79190', u'62013', u'67200', u'78651', u'74717', u'67706', u'70253', u'70878', u'71387', u'69720', u'52197', u'70289', u'76408', u'69481', u'3355', u'80956', u'70699', u'62938', u'61242', u'34688', u'66742', u'73697', u'56620', u'58557', u'66965', u'81676', u'79083', u'68822', u'61985', u'80283', u'64473', u'57678', u'75788', u'79165', u'72552', u'70255', u'78946', u'74638', u'78423', u'75237', u'67010', u'70126', u'74718', u'58296', u'72656', u'59866', u'60981', u'68816', u'60887', u'70706', u'9942', u'72156', u'3319', u'61990', u'70848', u'79344', u'74637', u'66378', u'75549', u'76609', u'62581', u'76809', u'73922', u'68837', u'60859', u'80101', u'30746', u'63950', u'62022', u'67187', u'72688', u'79823', u'73034', u'79132', u'71825', u'66282', u'56999', u'82379', u'73836', u'3237', u'68947', u'66866', u'76349', u'78392', u'75180', u'65062', u'72142', u'72277', u'74833', u'72143', u'17256', u'68729', u'72454', u'66541', u'80472', u'9201', u'31269', u'1036', u'76845', u'35248', u'73716', u'66851', u'72961', u'74746', u'82356', u'73381', u'69494', u'68565', u'81439', u'73111', u'68987', u'67091', u'71230', u'64658', u'79371', u'76025', u'69645', u'57897', u'60243', u'71075', u'61057', u'71645', u'81447', u'78926', u'68623', u'72437', u'72896', u'22797', u'72514', u'31265', u'80530', u'76565', u'63059', u'372', u'75741', u'75660', u'76847', u'67082', u'69417', u'73721', u'62308', u'60209', u'76706', u'5108', u'69967', u'3413', u'64853', u'73571', u'79969', u'69116', u'73287', u'79605', u'69092', u'8717', u'63138', u'62453', u'58389', u'61438', u'81409', u'80371', u'71839', u'68973', u'80084', u'63770', u'72687', u'72080', u'68386', u'69483', u'57581', u'81971', u'68625', u'62129', u'70717', u'70804', u'79528', u'80316', u'68379', u'69363', u'60185', u'72913', u'64280', u'72296', u'78912', u'73807', u'76405', u'61633', u'31515', u'81739', u'67731', u'75151', u'82057', u'73214', u'79176', u'82345', u'72465', u'76597', u'33760', u'74551', u'20029', u'82005', u'81546', u'69126', u'82164', u'37639', u'62023', u'63588', u'76403', u'64445', u'39487', u'62290', u'69453', u'80009', u'71627', u'74648', u'80534', u'75363', u'61162', u'68890', u'73450', u'64234', u'74968', u'79771', u'62138', u'82352', u'38038', u'75035', u'58094', u'78921', u'924', u'79689', u'73502', u'70791', u'61124', u'57087', u'66151', u'71727', u'68356', u'3893', u'66212', u'82170', u'71748', u'72823', u'76368', u'74547', u'71215', u'24479', u'3247', u'67330', u'61142', u'63730', u'63060', u'64192', u'66880', u'70695', u'71703', u'69010', u'68450', u'58264', u'69425', u'75358', u'71860', u'60702', u'72528', u'82103', u'81363', u'73048', u'75183', u'74365', u'82383', u'65231', u'57734', u'66477', u'73000', u'78817', u'57311', u'68420', u'30861', u'58576', u'70381', u'71116', u'81547', u'35759', u'71961', u'71410', u'70921', u'71430', u'74756', u'78834', u'73323', u'58486', u'75285', u'66552', u'71530', u'86', u'75933', u'75286', u'22647', u'75185', u'72326', u'61736', u'60908', u'71265', u'67704', u'81658', u'73475', u'1398', u'61064', u'81437', u'79877', u'17237', u'80166', u'81290', u'81334', u'78860', u'79755', u'78830', u'77731', u'71973', u'79906', u'40732', u'72208', u'69613', u'73337', u'74012', u'66293', u'74744', u'79244', u'29750', u'43931', u'71367', u'63859', u'63549', u'70178', u'64735', u'67363', u'76543', u'81548', u'64655', u'63171', u'78585', u'28648', u'77730', u'64479', u'68345', u'70116', u'80546', u'60974', u'73284', u'37910', u'60284', u'56582', u'67492', u'51247', u'73213', u'67380', u'60050', u'16148', u'9207', u'76413', u'75163', u'67708', u'79374', u'76013', u'82346', u'3427', u'68921', u'4313', u'60741', u'64395', u'70816', u'78853', u'68089', u'69591', u'58532', u'68156', u'68926', u'68504', u'71600', u'73713', u'79690', u'64755', u'65171', u'75443', u'73332', u'61432', u'71372', u'79010', u'81284', u'13318', u'73089', u'73013', u'71221', u'69042', u'68599', u'65004', u'81668', u'63574', u'68978', u'63106', u'80223', u'81921', u'70710', u'81502', u'80565', u'75626', u'72265', u'39133', u'68911', u'72127', u'73309', u'70083', u'3023', u'67912', u'57310', u'64496', u'70286', u'76430', u'65266', u'62971', u'75854', u'71465', u'71076', u'71795', u'73996', u'76019', u'72744', u'59680', u'74816', u'71496', u'2955', u'59068', u'72608', u'71306', u'65182', u'763', u'3190', u'80076', u'66031', u'26579', u'70707', u'76390', u'71380', u'70929', u'4078', u'62006', u'60763', u'58817', u'72751', u'78836', u'63113', u'27991', u'69222', u'82075', u'78939', u'75258', u'68447', u'49428', u'73351', u'65225', u'71692', u'65223', u'79781', u'73409', u'73559', u'12037', u'71066', u'75162', u'38900', u'80048', u'81407', u'12718', u'80326', u'58095', u'79863', u'79635', u'11184', u'75261', u'62109', u'75813', u'60501', u'70015', u'73273', u'58485', u'73329', u'63180', u'57977', u'66456', u'13268', u'60975', u'76632', u'64657', u'69316', u'75355', u'67159', u'74936', u'79482', u'79961', u'76514', u'66626', u'82341', u'67852', u'73736', u'81913', u'68472', u'24316', u'69762', u'67822', u'30809', u'69473', u'73026', u'9947', u'59748', u'79127', u'80538', u'62383', u'71823', u'80547', u'81470', u'73015', u'68274', u'60514', u'71612', u'80174', u'76002', u'80529', u'79316', u'82310', u'80032', u'3484', u'74977', u'3426', u'65979', u'78843', u'73014', u'60937', u'81601', u'79269', u'71062', u'71244', u'57309', u'79748', u'69011', u'60096', u'71894', u'71714', u'80533', u'72525', u'70805', u'71094', u'68662', u'74627', u'68681', u'65185', u'65269', u'72453', u'70956', u'3583', u'66453', u'9389', u'82454', u'3927', u'68044', u'3838', u'72532', u'81881', u'81392', u'69726', u'78927', u'79186', u'67865', u'77581', u'64129', u'66657', u'73953', u'72786', u'76705', u'57649', u'58271', u'56936', u'61989', u'64982', u'74875', u'74805', u'74694', u'66988', u'78835', u'67939', u'61058', u'7971', u'68285', u'79858', u'69262', u'73033', u'80106', u'70761', u'72229', u'72148', u'61691', u'74723', u'74856', u'74068', u'57549', u'57548', u'81412', u'66411', u'82398', u'61281', u'70951', u'75125', u'80632', u'69172', u'74512', u'75240', u'75375', u'75378', u'70271', u'71396', u'57881', u'76568', u'62697', u'68219', u'75939', u'63952', u'76334', u'60305', u'75894', u'69695', u'67867', u'82350', u'79476', u'12826', u'59438', u'81700', u'1338', u'76384', u'66349', u'71330', u'70229', u'40274', u'67873', u'73959', u'72599', u'64824', u'66618', u'72795', u'74600', u'75448', u'78776', u'80676', u'72793', u'60907', u'65347', u'79589', u'66169', u'65260', u'74993', u'60701', u'66644', u'14501', u'67812', u'73266', u'75950', u'69371', u'78815', u'70806', u'72376', u'70724', u'72329', u'72756', u'62015', u'61421', u'73330', u'61119', u'63737', u'79153', u'73253', u'74500', u'81430', u'79079', u'71613', u'82363', u'69105', u'61165', u'65339', u'72230', u'79201', u'76369', u'77974', u'69457', u'71011', u'76533', u'70749']",1218
Empanadas,"[u'79053', u'80450', u'66886', u'73336', u'65251', u'66675', u'72548', u'72843', u'69282', u'82302', u'78953', u'73947']",12
Latin,"[u'74095', u'73221', u'72219', u'81633', u'76424', u'79345', u'73170', u'79995', u'74615', u'79238', u'73223', u'79697', u'72817', u'79523', u'79027', u'79548', u'79386', u'60273', u'68961', u'71628', u'69146', u'13086', u'59483', u'74115', u'79251', u'80567', u'81936', u'72052', u'80450', u'78793', u'71415', u'66886', u'69642', u'66485', u'81498', u'62503', u'64646', u'74533', u'68338', u'73336', u'79412', u'80514', u'74996', u'81968', u'75399', u'65251', u'73222', u'76389', u'75114', u'78913', u'79909', u'75975', u'62230', u'32071', u'71838', u'80164', u'78867', u'79359', u'72843', u'80609', u'63978', u'81459', u'72851', u'69282', u'81774', u'79780', u'76029', u'78868', u'64013', u'80633', u'81991', u'70106', u'73618', u'74919', u'70998', u'81523', u'69609', u'62996', u'82302', u'59489', u'75827', u'62719', u'76032', u'61983', u'63945', u'73220', u'76836', u'72168', u'69891', u'64295', u'79478', u'72556', u'79465', u'78953', u'68581']",95
Hawaiian,"[u'74609', u'74111', u'62526', u'75155']",4
Passover,[u'61633'],1
Deli,"[u'75336', u'66553', u'952', u'72355', u'3216', u'75873', u'72699', u'79403', u'66991', u'71702', u'64621', u'57729', u'36527', u'73809', u'3964', u'68943', u'75326', u'72306', u'78997', u'78801', u'69687', u'67116', u'80220', u'62699', u'66470', u'67815', u'58856', u'73255', u'68302', u'40992', u'2712', u'79238', u'65265', u'69250', u'79284', u'30742', u'78405', u'61217', u'80422', u'32124', u'81390', u'80141', u'80586', u'63926', u'69472', u'73228', u'72471', u'60896', u'62363', u'72045', u'78385', u'72118', u'58350', u'62234', u'74708', u'74082', u'72880', u'72186', u'71209', u'72084', u'70713', u'57869', u'74616', u'59213', u'62317', u'73342', u'52960', u'75023', u'79507', u'82137', u'79486', u'71213', u'65127', u'80219', u'70269', u'61404', u'77887', u'56903', u'78566', u'70772', u'70759', u'69422', u'71353', u'69115', u'73318', u'58844', u'78892', u'32219', u'76600', u'299', u'18567', u'81544', u'73864', u'59003', u'75829', u'67718', u'76584', u'74881', u'79562', u'71109', u'73970', u'72567', u'74779', u'81648', u'62503', u'75056', u'78718', u'64752', u'1579', u'75924', u'72869', u'73476', u'62464', u'81965', u'69062', u'64761', u'81960', u'82156', u'49337', u'79412', u'71948', u'58406', u'11272', u'3872', u'72552', u'72867', u'72416', u'71995', u'64540', u'60031', u'75549', u'74967', u'60027', u'81433', u'75212', u'72143', u'78913', u'68591', u'82087', u'73028', u'79643', u'74554', u'75741', u'8482', u'8133', u'68728', u'61573', u'70268', u'68065', u'74113', u'58502', u'71985', u'69116', u'60278', u'58389', u'64880', u'62761', u'79306', u'70305', u'58400', u'62146', u'71416', u'65887', u'72461', u'74388', u'81283', u'72466', u'79852', u'25841', u'74270', u'81783', u'64234', u'79206', u'62416', u'70256', u'62214', u'69067', u'79148', u'67379', u'70835', u'75143', u'58387', u'68188', u'69208', u'79042', u'69915', u'79198', u'80432', u'80967', u'79147', u'74839', u'66552', u'72631', u'3209', u'59187', u'69675', u'77731', u'78719', u'75697', u'9390', u'73556', u'71831', u'72197', u'75334', u'76031', u'78424', u'73060', u'57550', u'69727', u'3064', u'7897', u'74816', u'71851', u'69261', u'72564', u'68912', u'3195', u'76010', u'75062', u'80846', u'38900', u'62777', u'2834', u'66456', u'67497', u'67204', u'70654', u'69302', u'61149', u'63851', u'72303', u'1280', u'78900', u'61724', u'69961', u'62413', u'74570', u'73524', u'72433', u'70386', u'71398', u'68438', u'67950', u'72857', u'60086', u'69172', u'71819', u'80074', u'82419', u'78989', u'69219', u'74840', u'60454', u'73589', u'63320', u'14501', u'71590', u'76402', u'80321', u'59835', u'77667']",261
Cheesesteaks,"[u'73278', u'40909', u'3305', u'73163', u'73275', u'79141', u'73484', u'76806', u'76468', u'43767', u'65166', u'69186', u'3201', u'76437', u'78775', u'57560', u'81440', u'78718', u'75238', u'74024', u'73560', u'58935', u'79927', u'69612', u'52197', u'3355', u'80259', u'80283', u'61442', u'14502', u'74113', u'38038', u'27492', u'57087', u'67379', u'63319', u'78719', u'76019', u'80091', u'81622', u'9389', u'79037', u'75896', u'74257', u'67950', u'79653', u'66520', u'80258', u'71980', u'80321']",50
Turkish,"[u'75367', u'82138', u'82150', u'68612', u'70618', u'38275', u'63867', u'79655', u'73080', u'63182', u'63819', u'69547', u'66735', u'74909', u'64808', u'82146', u'72781', u'79901', u'79404', u'76018', u'70747', u'69468', u'81410', u'8133', u'39570', u'63183', u'68425', u'67881', u'60665', u'71525', u'67722', u'62098', u'81391', u'78536', u'76467', u'75985', u'78898', u'68295', u'64994', u'81331', u'79572', u'72857', u'68867', u'66803', u'71633', u'79440']",46
